"x"
"1","Antocha sp."
"2","Atherix sp."
"3","Cheumatopsyche sp."
"4","Cricotopus bicinctus"
"5","Cricotopus sp."
"6","Cricotopus trifascia gr."
"7","Dicrotendipes neomodestus"
"8","Hemerodromia sp."
"9","Hydropsyche betteni"
"10","Microtendipes pedellus gr."
"11","Optioservus fastiditus"
"12","Optioservus trivittatus"
"13","Pagastia orthogonia"
"14","Parametriocnemus lundbecki"
"15","Polypedilum aviceps"
"16","Polypedilum fallax gr."
"17","Polypedilum illinoense"
"18","Rheotanytarsus sp."
"19","Simulium tuberosum"
"20","Stenelmis crenata"
"21","Thienemannimyia gr. spp."
"22","Tipula sp."
"23","Undetermined Lumbricina"
"24","Agnetina capitata"
"25","Baetis sp."
"26","Boyeria sp."
"27","Brachycentrus appalachia"
"28","Chimarra aterrima?"
"29","Conchapelopia sp."
"30","Diamesa sp."
"31","Dolophilodes sp."
"32","Ectopria nervosa"
"33","Ephemera sp."
"34","Hydropsyche sparna"
"35","Isonychia bicolor"
"36","Isoperla sp."
"37","Leuctra sp."
"38","Microtendipes pedellus gr."
"39","Nigronia serricornis"
"40","Optioservus sp."
"41","Parametriocnemus lundbecki"
"42","Polypedilum aviceps"
"43","Promoresia tardella"
"44","Rhyacophila fuscula"
"45","Serratella deficiens"
"46","Stenelmis sp."
"47","Stenonema terminatum"
"48","Tipula sp."
"49","Tvetenia bavarica gr."
"50","Undetermined Tanypodinae"
"51","Acroneuria carolinensis"
"52","Dicranota sp."
"53","Dolophilodes sp."
"54","Ectopria nervosa"
"55","Glossosoma sp."
"56","Hexatoma sp."
"57","Hydropsyche sparna"
"58","Leuctra sp."
"59","Microtendipes rydalensis gr."
"60","Nigronia serricornis"
"61","Optioservus fastiditus"
"62","Promoresia tardella"
"63","Pteronarcys biloba"
"64","Rhyacophila fuscula"
"65","Simulium tuberosum"
"66","Stenelmis crenata"
"67","Tvetenia bavarica gr."
"68","Undetermined Enchytraeidae"
"69","Undetermined Muscidae"
"70","Acroneuria abnormis"
"71","Cheumatopsyche sp."
"72","Chimarra aterrima?"
"73","Conchapelopia sp."
"74","Dicranota sp."
"75","Dolophilodes sp."
"76","Hydropsyche betteni"
"77","Hydropsyche sparna"
"78","Isonychia bicolor"
"79","Leuctra sp."
"80","Microtendipes rydalensis gr."
"81","Paragnetina media"
"82","Parametriocnemus lundbecki"
"83","Polypedilum aviceps"
"84","Promoresia elegans"
"85","Psephenus herricki"
"86","Rheocricotopus robacki"
"87","Rheopelopia acra gr."
"88","Rhyacophila fuscula"
"89","Serratella deficiens"
"90","Stenelmis sp."
"91","Tanytarsus sp."
"92","Tvetenia bavarica gr."
"93","Antocha sp."
"94","Atherix sp."
"95","Cambarus sp."
"96","Cardiocladius obscurus"
"97","Cricotopus bicinctus"
"98","Cricotopus sp."
"99","Cricotopus trifascia gr."
"100","Eukiefferiella devonica gr."
"101","Hemerodromia sp."
"102","Hydropsyche bronta"
"103","Hydropsyche morosa"
"104","Microtendipes pedellus gr."
"105","Nigronia serricornis"
"106","Parametriocnemus sp."
"107","Polypedilum flavum"
"108","Rheotanytarsus sp."
"109","Stenelmis crenata"
"110","Tanytarsus guerlus gr."
"111","Thienemannimyia gr. spp."
"112","Undet. Tubificidae w/o cap. setae"
"113","Undetermined Lepidoptera"
"114","Brachycentrus lateralis"
"115","Cheumatopsyche sp."
"116","Chimarra obscura"
"117","Corydalus cornutus"
"118","Cricotopus bicinctus"
"119","Hemerodromia sp."
"120","Hydropsyche bronta"
"121","Hydropsyche morosa"
"122","Hydroptila sp."
"123","Isonychia bicolor"
"124","Leucrocuta sp."
"125","Nilothauma sp."
"126","Plauditus sp."
"127","Polypedilum flavum"
"128","Rheotanytarsus sp."
"129","Serratella deficiens"
"130","Simulium jenningsi"
"131","Sphaerium sp."
"132","Stenacron interpunctatum"
"133","Stenelmis crenata"
"134","Stenonema luteum"
"135","Stenonema mediopunctatum"
"136","Stenonema terminatum"
"137","Tanytarsus glabrescens gr."
"138","Thienemannimyia gr. spp."
"139","Tvetenia vitracies"
"140","Antocha sp."
